NAME,FAMILY,TITLE,PRIORITY,BASELINE-IMPACT
AC-6 (10),ACCESS CONTROL,PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS,,"MODERATE,HIGH"
AC-7,ACCESS CONTROL,UNSUCCESSFUL LOGON ATTEMPTS,P2,"LOW,MODERATE,HIGH"
AC-7 (2),ACCESS CONTROL,PURGE / WIPE MOBILE DEVICE,,
AC-8,ACCESS CONTROL,SYSTEM USE NOTIFICATION,P1,"LOW,MODERATE,HIGH"
AC-9,ACCESS CONTROL,PREVIOUS LOGON (ACCESS) NOTIFICATION,P0,
AC-9 (1),ACCESS CONTROL,UNSUCCESSFUL LOGONS,,
AC-9 (2),ACCESS CONTROL,SUCCESSFUL / UNSUCCESSFUL LOGONS,,
AC-9 (3),ACCESS CONTROL,NOTIFICATION OF ACCOUNT CHANGES,,
AC-9 (4),ACCESS CONTROL,ADDITIONAL LOGON INFORMATION,,
AC-10,ACCESS CONTROL,CONCURRENT SESSION CONTROL,P3,HIGH
AC-11,ACCESS CONTROL,SESSION LOCK,P3,"MODERATE,HIGH"
AC-11 (1),ACCESS CONTROL,PATTERN-HIDING DISPLAYS,,"MODERATE,HIGH"
AC-12,ACCESS CONTROL,SESSION TERMINATION,P2,"MODERATE,HIGH"
AC-12 (1),ACCESS CONTROL,USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,,
AC-14,ACCESS CONTROL,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,P3,"LOW,MODERATE,HIGH"
AC-16,ACCESS CONTROL,SECURITY ATTRIBUTES,P0,
AC-16 (1),ACCESS CONTROL,DYNAMIC ATTRIBUTE ASSOCIATION,,
AC-16 (2),ACCESS CONTROL,ATTRIBUTE VALUE CHANGES BY AUTHORIZED INDIVIDUALS,,
AC-16 (3),ACCESS CONTROL,MAINTENANCE OF ATTRIBUTE ASSOCIATIONS BY INFORMATION SYSTEM,,
AC-16 (4),ACCESS CONTROL,ASSOCIATION OF ATTRIBUTES BY AUTHORIZED INDIVIDUALS,,
AC-16 (5),ACCESS CONTROL,ATTRIBUTE DISPLAYS FOR OUTPUT DEVICES,,
AC-16 (6),ACCESS CONTROL,MAINTENANCE OF ATTRIBUTE ASSOCIATION BY ORGANIZATION,,
AC-16 (7),ACCESS CONTROL,CONSISTENT ATTRIBUTE INTERPRETATION,,
AC-16 (8),ACCESS CONTROL,ASSOCIATION TECHNIQUES / TECHNOLOGIES,,
AC-16 (9),ACCESS CONTROL,ATTRIBUTE REASSIGNMENT,,
AC-16 (10),ACCESS CONTROL,ATTRIBUTE CONFIGURATION BY AUTHORIZED INDIVIDUALS,,
AC-17,ACCESS CONTROL,REMOTE ACCESS,P1,"LOW,MODERATE,HIGH"
AC-17 (1),ACCESS CONTROL,AUTOMATED MONITORING / CONTROL,,"MODERATE,HIGH"
AC-17 (2),ACCESS CONTROL,PROTECTION OF CONFIDENTIALITY / INTEGRITY USING ENCRYPTION,,"MODERATE,HIGH"
AC-17 (3),ACCESS CONTROL,MANAGED ACCESS CONTROL POINTS,,"MODERATE,HIGH"
AC-17 (4),ACCESS CONTROL,PRIVILEGED COMMANDS / ACCESS,,"MODERATE,HIGH"
AC-17 (6),ACCESS CONTROL,PROTECTION OF INFORMATION,,
AC-17 (9),ACCESS CONTROL,DISCONNECT / DISABLE ACCESS,,
AC-18,ACCESS CONTROL,WIRELESS ACCESS,P1,"LOW,MODERATE,HIGH"
AC-18 (1),ACCESS CONTROL,AUTHENTICATION AND ENCRYPTION,,"MODERATE,HIGH"
AC-18 (3),ACCESS CONTROL,DISABLE WIRELESS NETWORKING,,
AC-18 (4),ACCESS CONTROL,RESTRICT CONFIGURATIONS BY USERS,,HIGH
AC-18 (5),ACCESS CONTROL,ANTENNAS / TRANSMISSION POWER LEVELS,,HIGH
AC-19,ACCESS CONTROL,ACCESS CONTROL FOR MOBILE DEVICES,P1,"LOW,MODERATE,HIGH"
AC-19 (4),ACCESS CONTROL,RESTRICTIONS FOR CLASSIFIED INFORMATION,,
AC-19 (5),ACCESS CONTROL,FULL DEVICE / CONTAINER-BASED  ENCRYPTION,,"MODERATE,HIGH"
AC-20,ACCESS CONTROL,USE OF EXTERNAL INFORMATION SYSTEMS,P1,"LOW,MODERATE,HIGH"
AC-20 (1),ACCESS CONTROL,LIMITS ON AUTHORIZED USE,,"MODERATE,HIGH"
AC-20 (2),ACCESS CONTROL,PORTABLE STORAGE DEVICES,,"MODERATE,HIGH"
AC-20 (3),ACCESS CONTROL,NON-ORGANIZATIONALLY OWNED SYSTEMS / COMPONENTS / DEVICES,,
AC-20 (4),ACCESS CONTROL,NETWORK ACCESSIBLE STORAGE DEVICES,,
AC-21,ACCESS CONTROL,INFORMATION SHARING,P2,"MODERATE,HIGH"
AC-21 (1),ACCESS CONTROL,AUTOMATED DECISION SUPPORT,,
AC-21 (2),ACCESS CONTROL,INFORMATION SEARCH AND RETRIEVAL,,
AC-22,ACCESS CONTROL,PUBLICLY ACCESSIBLE CONTENT,P3,"LOW,MODERATE,HIGH"
AC-23,ACCESS CONTROL,DATA MINING PROTECTION,P0,
AC-24,ACCESS CONTROL,ACCESS CONTROL DECISIONS,P0,
AC-24 (1),ACCESS CONTROL,TRANSMIT ACCESS AUTHORIZATION INFORMATION,,
AC-24 (2),ACCESS CONTROL,NO USER OR PROCESS IDENTITY,,
AC-25,ACCESS CONTROL,REFERENCE MONITOR,P0,
AT-1,AWARENESS AND TRAINING,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
AT-2,AWARENESS AND TRAINING,SECURITY AWARENESS TRAINING,P1,"LOW,MODERATE,HIGH"
AT-2 (1),AWARENESS AND TRAINING,PRACTICAL EXERCISES,,
AT-2 (2),AWARENESS AND TRAINING,INSIDER THREAT,,"MODERATE,HIGH"
AT-3,AWARENESS AND TRAINING,ROLE-BASED SECURITY TRAINING,P1,"LOW,MODERATE,HIGH"
AT-3 (1),AWARENESS AND TRAINING,ENVIRONMENTAL CONTROLS,,
AT-3 (2),AWARENESS AND TRAINING,PHYSICAL SECURITY CONTROLS,,
AT-3 (3),AWARENESS AND TRAINING,PRACTICAL EXERCISES,,
AT-3 (4),AWARENESS AND TRAINING,SUSPICIOUS COMMUNICATIONS AND ANOMALOUS SYSTEM BEHAVIOR,,
AT-4,AWARENESS AND TRAINING,SECURITY TRAINING RECORDS,P3,"LOW,MODERATE,HIGH"
AU-1,AUDIT AND ACCOUNTABILITY,AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
AU-2,AUDIT AND ACCOUNTABILITY,AUDIT EVENTS,P1,"LOW,MODERATE,HIGH"
AU-2 (3),AUDIT AND ACCOUNTABILITY,REVIEWS AND UPDATES,,"MODERATE,HIGH"
AU-3,AUDIT AND ACCOUNTABILITY,CONTENT OF AUDIT RECORDS,P1,"LOW,MODERATE,HIGH"
AU-3 (1),AUDIT AND ACCOUNTABILITY,ADDITIONAL AUDIT INFORMATION,,"MODERATE,HIGH"
AU-3 (2),AUDIT AND ACCOUNTABILITY,CENTRALIZED MANAGEMENT OF PLANNED AUDIT RECORD CONTENT,,HIGH
AU-4,AUDIT AND ACCOUNTABILITY,AUDIT STORAGE CAPACITY,P1,"LOW,MODERATE,HIGH"
AU-4 (1),AUDIT AND ACCOUNTABILITY,TRANSFER TO ALTERNATE STORAGE,,
AU-5,AUDIT AND ACCOUNTABILITY,RESPONSE TO AUDIT PROCESSING FAILURES,P1,"LOW,MODERATE,HIGH"
AU-5 (1),AUDIT AND ACCOUNTABILITY,AUDIT STORAGE CAPACITY,,HIGH
AU-5 (2),AUDIT AND ACCOUNTABILITY,REAL-TIME ALERTS,,HIGH
AU-5 (3),AUDIT AND ACCOUNTABILITY,CONFIGURABLE TRAFFIC VOLUME THRESHOLDS,,
AU-5 (4),AUDIT AND ACCOUNTABILITY,SHUTDOWN ON FAILURE,,
AU-6,AUDIT AND ACCOUNTABILITY,AUDIT REVIEW / ANALYSIS / REPORTING,P1,"LOW,MODERATE,HIGH"
AU-6 (1),AUDIT AND ACCOUNTABILITY,PROCESS INTEGRATION,,"MODERATE,HIGH"
AU-6 (3),AUDIT AND ACCOUNTABILITY,CORRELATE AUDIT REPOSITORIES,,"MODERATE,HIGH"
AU-6 (4),AUDIT AND ACCOUNTABILITY,CENTRAL REVIEW AND ANALYSIS,,
AU-6 (5),AUDIT AND ACCOUNTABILITY,INTEGRATION / SCANNING AND MONITORING CAPABILITIES,,HIGH
AU-6 (6),AUDIT AND ACCOUNTABILITY,CORRELATION WITH PHYSICAL MONITORING,,HIGH
AU-6 (7),AUDIT AND ACCOUNTABILITY,PERMITTED ACTIONS,,
AU-6 (8),AUDIT AND ACCOUNTABILITY,FULL TEXT ANALYSIS OF PRIVILEGED COMMANDS,,
AU-6 (9),AUDIT AND ACCOUNTABILITY,CORRELATION WITH INFORMATION FROM NONTECHNICAL SOURCES,,
AU-6 (10),AUDIT AND ACCOUNTABILITY,AUDIT LEVEL ADJUSTMENT,,
AU-7,AUDIT AND ACCOUNTABILITY,AUDIT REDUCTION AND REPORT GENERATION,P2,"MODERATE,HIGH"
AU-7 (1),AUDIT AND ACCOUNTABILITY,AUTOMATIC PROCESSING,,"MODERATE,HIGH"
AU-7 (2),AUDIT AND ACCOUNTABILITY,AUTOMATIC SORT AND SEARCH,,
AU-8,AUDIT AND ACCOUNTABILITY,TIME STAMPS,P1,"LOW,MODERATE,HIGH"
AU-8 (1),AUDIT AND ACCOUNTABILITY,SYNCHRONIZATION WITH AUTHORITATIVE TIME SOURCE,,"MODERATE,HIGH"
AU-8 (2),AUDIT AND ACCOUNTABILITY,SECONDARY AUTHORITATIVE TIME SOURCE,,
AU-9,AUDIT AND ACCOUNTABILITY,PROTECTION OF AUDIT INFORMATION,P1,"LOW,MODERATE,HIGH"
AU-9 (1),AUDIT AND ACCOUNTABILITY,HARDWARE WRITE-ONCE MEDIA,,
AU-9 (2),AUDIT AND ACCOUNTABILITY,AUDIT BACKUP ON SEPARATE PHYSICAL SYSTEMS / COMPONENTS,,HIGH
AU-9 (3),AUDIT AND ACCOUNTABILITY,CRYPTOGRAPHIC PROTECTION,,HIGH
AU-9 (4),AUDIT AND ACCOUNTABILITY,ACCESS BY SUBSET OF PRIVILEGED USERS,,"MODERATE,HIGH"
AU-9 (5),AUDIT AND ACCOUNTABILITY,DUAL AUTHORIZATION,,
AU-9 (6),AUDIT AND ACCOUNTABILITY,READ ONLY ACCESS,,
AU-10,AUDIT AND ACCOUNTABILITY,NON-REPUDIATION,P2,HIGH
AU-10 (1),AUDIT AND ACCOUNTABILITY,ASSOCIATION OF IDENTITIES,,
AU-10 (2),AUDIT AND ACCOUNTABILITY,VALIDATE BINDING OF INFORMATION PRODUCER IDENTITY,,
AU-10 (3),AUDIT AND ACCOUNTABILITY,CHAIN OF CUSTODY,,
AU-10 (4),AUDIT AND ACCOUNTABILITY,VALIDATE BINDING OF INFORMATION REVIEWER IDENTITY,,
AU-11,AUDIT AND ACCOUNTABILITY,AUDIT RECORD RETENTION,P3,"LOW,MODERATE,HIGH"
AU-11 (1),AUDIT AND ACCOUNTABILITY,LONG-TERM RETRIEVAL CAPABILITY,,
AU-12,AUDIT AND ACCOUNTABILITY,AUDIT GENERATION,P1,"LOW,MODERATE,HIGH"
AU-12 (1),AUDIT AND ACCOUNTABILITY,SYSTEM-WIDE / TIME-CORRELATED AUDIT TRAIL,,HIGH
AU-12 (2),AUDIT AND ACCOUNTABILITY,STANDARDIZED FORMATS,,
AU-12 (3),AUDIT AND ACCOUNTABILITY,CHANGES BY AUTHORIZED INDIVIDUALS,,HIGH
AU-13,AUDIT AND ACCOUNTABILITY,MONITORING FOR INFORMATION DISCLOSURE,P0,
AU-13 (1),AUDIT AND ACCOUNTABILITY,USE OF AUTOMATED TOOLS,,
AU-13 (2),AUDIT AND ACCOUNTABILITY,REVIEW OF MONITORED SITES,,
AU-14,AUDIT AND ACCOUNTABILITY,SESSION AUDIT,P0,
AU-14 (1),AUDIT AND ACCOUNTABILITY,SYSTEM START-UP,,
AU-14 (2),AUDIT AND ACCOUNTABILITY,CAPTURE/RECORD AND LOG CONTENT,,
AU-14 (3),AUDIT AND ACCOUNTABILITY,REMOTE VIEWING / LISTENING,,
AU-15,AUDIT AND ACCOUNTABILITY,ALTERNATE AUDIT CAPABILITY,P0,
AU-16,AUDIT AND ACCOUNTABILITY,CROSS-ORGANIZATIONAL AUDITING,P0,
AU-16 (1),AUDIT AND ACCOUNTABILITY,IDENTITY PRESERVATION,,
AU-16 (2),AUDIT AND ACCOUNTABILITY,SHARING OF AUDIT INFORMATION,,
CA-1,SECURITY ASSESSMENT AND AUTHORIZATION,SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
CA-2,SECURITY ASSESSMENT AND AUTHORIZATION,SECURITY ASSESSMENTS,P2,"LOW,MODERATE,HIGH"
CA-2 (1),SECURITY ASSESSMENT AND AUTHORIZATION,INDEPENDENT ASSESSORS,,"MODERATE,HIGH"
CA-2 (2),SECURITY ASSESSMENT AND AUTHORIZATION,SPECIALIZED ASSESSMENTS,,HIGH
CA-2 (3),SECURITY ASSESSMENT AND AUTHORIZATION,EXTERNAL ORGANIZATIONS,,
CA-3,SECURITY ASSESSMENT AND AUTHORIZATION,SYSTEM INTERCONNECTIONS,P1,"LOW,MODERATE,HIGH"
CA-3 (1),SECURITY ASSESSMENT AND AUTHORIZATION,UNCLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS,,
CA-3 (2),SECURITY ASSESSMENT AND AUTHORIZATION,CLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS,,
CA-3 (3),SECURITY ASSESSMENT AND AUTHORIZATION,UNCLASSIFIED NON-NATIONAL SECURITY SYSTEM CONNECTIONS,,
CA-3 (4),SECURITY ASSESSMENT AND AUTHORIZATION,CONNECTIONS TO PUBLIC NETWORKS,,
CA-3 (5),SECURITY ASSESSMENT AND AUTHORIZATION,RESTRICTIONS ON EXTERNAL SYSTEM CONNECTIONS,,"MODERATE,HIGH"
CA-5,SECURITY ASSESSMENT AND AUTHORIZATION,PLAN OF ACTION AND MILESTONES,P3,"LOW,MODERATE,HIGH"
CA-5 (1),SECURITY ASSESSMENT AND AUTHORIZATION,AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,,
CA-6,SECURITY ASSESSMENT AND AUTHORIZATION,SECURITY AUTHORIZATION,P2,"LOW,MODERATE,HIGH"
CA-7,SECURITY ASSESSMENT AND AUTHORIZATION,CONTINUOUS MONITORING,P2,"LOW,MODERATE,HIGH"
CA-7 (1),SECURITY ASSESSMENT AND AUTHORIZATION,INDEPENDENT ASSESSMENT,,"MODERATE,HIGH"
CA-7 (3),SECURITY ASSESSMENT AND AUTHORIZATION,TREND ANALYSES,,
CA-8,SECURITY ASSESSMENT AND AUTHORIZATION,PENETRATION TESTING,P2,HIGH
CA-8 (1),SECURITY ASSESSMENT AND AUTHORIZATION,INDEPENDENT PENETRATION AGENT OR TEAM,,
CA-8 (2),SECURITY ASSESSMENT AND AUTHORIZATION,RED TEAM EXERCISES,,
CA-9,SECURITY ASSESSMENT AND AUTHORIZATION,INTERNAL SYSTEM CONNECTIONS,P2,"LOW,MODERATE,HIGH"
CA-9 (1),SECURITY ASSESSMENT AND AUTHORIZATION,SECURITY COMPLIANCE CHECKS,,
CM-1,CONFIGURATION MANAGEMENT,CONFIGURATION MANAGEMENT POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
CM-2,CONFIGURATION MANAGEMENT,BASELINE CONFIGURATION,P1,"LOW,MODERATE,HIGH"
CM-2 (1),CONFIGURATION MANAGEMENT,REVIEWS AND UPDATES,,"MODERATE,HIGH"
CM-2 (2),CONFIGURATION MANAGEMENT,AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,,HIGH
CM-2 (3),CONFIGURATION MANAGEMENT,RETENTION OF PREVIOUS CONFIGURATIONS,,"MODERATE,HIGH"
CM-2 (6),CONFIGURATION MANAGEMENT,DEVELOPMENT AND TEST ENVIRONMENTS,,
CM-2 (7),CONFIGURATION MANAGEMENT,CONFIGURE SYSTEMS / COMPONENTS / DEVICES FOR HIGH-RISK AREAS,,"MODERATE,HIGH"
CM-3,CONFIGURATION MANAGEMENT,CONFIGURATION CHANGE CONTROL,P1,"MODERATE,HIGH"
CM-3 (1),CONFIGURATION MANAGEMENT,AUTOMATED DOCUMENT / NOTIFICATION / PROHIBITION OF CHANGES,,HIGH
CM-3 (2),CONFIGURATION MANAGEMENT,TEST / VALIDATE / DOCUMENT CHANGES,,"MODERATE,HIGH"
CM-3 (3),CONFIGURATION MANAGEMENT,AUTOMATED CHANGE IMPLEMENTATION,,
CM-3 (4),CONFIGURATION MANAGEMENT,SECURITY REPRESENTATIVE,,
CM-3 (5),CONFIGURATION MANAGEMENT,AUTOMATED SECURITY RESPONSE,,
CM-3 (6),CONFIGURATION MANAGEMENT,CRYPTOGRAPHY MANAGEMENT,,
CM-4,CONFIGURATION MANAGEMENT,SECURITY IMPACT ANALYSIS,P2,"LOW,MODERATE,HIGH"
CM-4 (1),CONFIGURATION MANAGEMENT,SEPARATE TEST ENVIRONMENTS,,HIGH
CM-4 (2),CONFIGURATION MANAGEMENT,VERIFICATION OF SECURITY FUNCTIONS,,
CM-5,CONFIGURATION MANAGEMENT,ACCESS RESTRICTIONS FOR CHANGE,P1,"MODERATE,HIGH"
CM-5 (1),CONFIGURATION MANAGEMENT,AUTOMATED ACCESS ENFORCEMENT / AUDITING,,HIGH
CM-5 (2),CONFIGURATION MANAGEMENT,REVIEW SYSTEM CHANGES,,HIGH
CM-5 (3),CONFIGURATION MANAGEMENT,SIGNED COMPONENTS,,HIGH
CM-5 (4),CONFIGURATION MANAGEMENT,DUAL AUTHORIZATION,,
CM-5 (5),CONFIGURATION MANAGEMENT,LIMIT PRODUCTION / OPERATIONAL PRIVILEGES,,
CM-5 (6),CONFIGURATION MANAGEMENT,LIMIT LIBRARY PRIVILEGES,,
CM-6,CONFIGURATION MANAGEMENT,CONFIGURATION SETTINGS,P1,"LOW,MODERATE,HIGH"
CM-6 (1),CONFIGURATION MANAGEMENT,AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,,HIGH
CM-6 (2),CONFIGURATION MANAGEMENT,RESPOND TO UNAUTHORIZED CHANGES,,HIGH
CM-7,CONFIGURATION MANAGEMENT,LEAST FUNCTIONALITY,P1,"LOW,MODERATE,HIGH"
CM-7 (1),CONFIGURATION MANAGEMENT,PERIODIC REVIEW,,"MODERATE,HIGH"
CM-7 (2),CONFIGURATION MANAGEMENT,PREVENT PROGRAM EXECUTION,,"MODERATE,HIGH"
CM-7 (3),CONFIGURATION MANAGEMENT,REGISTRATION COMPLIANCE,,
CM-7 (4),CONFIGURATION MANAGEMENT,UNAUTHORIZED SOFTWARE / BLACKLISTING,,MODERATE
CM-7 (5),CONFIGURATION MANAGEMENT,AUTHORIZED SOFTWARE / WHITELISTING,,HIGH
CM-8,CONFIGURATION MANAGEMENT,INFORMATION SYSTEM COMPONENT INVENTORY,P1,"LOW,MODERATE,HIGH"
CM-8 (1),CONFIGURATION MANAGEMENT,UPDATES DURING INSTALLATIONS / REMOVALS,,"MODERATE,HIGH"
CM-8 (2),CONFIGURATION MANAGEMENT,AUTOMATED MAINTENANCE,,HIGH
CM-8 (3),CONFIGURATION MANAGEMENT,AUTOMATED UNAUTHORIZED COMPONENT DETECTION,,"MODERATE,HIGH"
CM-8 (4),CONFIGURATION MANAGEMENT,ACCOUNTABILITY INFORMATION,,HIGH
CM-8 (5),CONFIGURATION MANAGEMENT,NO DUPLICATE ACCOUNTING OF COMPONENTS,,"MODERATE,HIGH"
CM-8 (6),CONFIGURATION MANAGEMENT,ASSESSED CONFIGURATIONS / APPROVED DEVIATIONS,,
CM-8 (7),CONFIGURATION MANAGEMENT,CENTRALIZED REPOSITORY,,
CM-8 (8),CONFIGURATION MANAGEMENT,AUTOMATED LOCATION TRACKING,,
CM-8 (9),CONFIGURATION MANAGEMENT,ASSIGNMENT OF COMPONENTS TO SYSTEMS,,
CM-9,CONFIGURATION MANAGEMENT,CONFIGURATION MANAGEMENT PLAN,P1,"MODERATE,HIGH"
CM-9 (1),CONFIGURATION MANAGEMENT,ASSIGNMENT OF RESPONSIBILITY,,
CM-10,CONFIGURATION MANAGEMENT,SOFTWARE USAGE RESTRICTIONS,P2,"LOW,MODERATE,HIGH"
CM-10 (1),CONFIGURATION MANAGEMENT,OPEN SOURCE SOFTWARE,,
CM-11,CONFIGURATION MANAGEMENT,USER-INSTALLED SOFTWARE,P1,"LOW,MODERATE,HIGH"
CM-11 (1),CONFIGURATION MANAGEMENT,ALERTS FOR UNAUTHORIZED INSTALLATIONS,,
CM-11 (2),CONFIGURATION MANAGEMENT,PROHIBIT INSTALLATION WITHOUT PRIVILEGED STATUS,,
CP-1,CONTINGENCY PLANNING,CONTINGENCY PLANNING POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
CP-2,CONTINGENCY PLANNING,CONTINGENCY PLAN,P1,"LOW,MODERATE,HIGH"
CP-2 (1),CONTINGENCY PLANNING,COORDINATE WITH RELATED PLANS,,"MODERATE,HIGH"
CP-2 (2),CONTINGENCY PLANNING,CAPACITY PLANNING,,HIGH
CP-2 (3),CONTINGENCY PLANNING,RESUME ESSENTIAL MISSIONS / BUSINESS FUNCTIONS,,"MODERATE,HIGH"
CP-2 (4),CONTINGENCY PLANNING,RESUME ALL MISSIONS / BUSINESS FUNCTIONS,,HIGH
CP-2 (5),CONTINGENCY PLANNING,CONTINUE  ESSENTIAL MISSIONS / BUSINESS FUNCTIONS,,HIGH
CP-2 (6),CONTINGENCY PLANNING,ALTERNATE PROCESSING / STORAGE SITE,,
CP-2 (7),CONTINGENCY PLANNING,COORDINATE  WITH EXTERNAL SERVICE PROVIDERS,,
CP-2 (8),CONTINGENCY PLANNING,IDENTIFY CRITICAL ASSETS,,"MODERATE,HIGH"
CP-3,CONTINGENCY PLANNING,CONTINGENCY TRAINING,P2,"LOW,MODERATE,HIGH"
CP-3 (1),CONTINGENCY PLANNING,SIMULATED EVENTS,,HIGH
CP-3 (2),CONTINGENCY PLANNING,AUTOMATED TRAINING ENVIRONMENTS,,
CP-4,CONTINGENCY PLANNING,CONTINGENCY PLAN TESTING,P2,"LOW,MODERATE,HIGH"
